,raw,json,bird,alternate_names,scientific_name
0,"The Iago sparrow (Passer iagoensis), also known as the Cape Verde or rufous-backed sparrow, is a passerine bird of the sparrow family Passeridae","{'bird': 'Iago sparrow', 'alternate_names': ['Cape Verde', 'rufous-backed sparrow'], 'scientific_name': 'Passer iagoensis'}",Iago sparrow,"['Cape Verde', 'rufous-backed sparrow']",Passer iagoensis
1,The Ibadan malimbe (Malimbus ibadanensis) is a rare species of bird in the family Ploceidae,"{'bird': 'Ibadan malimbe', 'alternate_names': ['Malimbus ibadanensis'], 'scientific_name': 'Ploceidae'}",Ibadan malimbe,['Malimbus ibadanensis'],Ploceidae
2,"The Ibera seedeater (Sporophila iberaensis) is a species of bird in the family Thraupidae, formerly included within the family of American sparrows (Emberizidae)","{'bird': 'Ibera seedeater', 'alternate_names': ['Sporophila iberaensis'], 'scientific_name': 'Thraupidae'}",Ibera seedeater,['Sporophila iberaensis'],Thraupidae
3,"The Iberian chiffchaff (Phylloscopus ibericus) is a species of leaf warbler endemic to Portugal, Spain and North Africa, west of a line stretching roughly from the western Pyrenees via the mountains of central Spain to the Atlantic","{'bird': 'Iberian chiffchaff', 'alternate_names': [], 'scientific_name': 'Phylloscopus ibericus'}",Iberian chiffchaff,,Phylloscopus ibericus
4,The Iberian green woodpecker (Picus sharpei) is a medium-sized woodpecker endemic to the Iberian peninsula,"{'bird': 'Iberian green woodpecker', 'alternate_names': 'Picus sharpei', 'scientific_name': 'Picus sharpei'}",Iberian green woodpecker,Picus sharpei,Picus sharpei
8,"The Iceland gull (Larus glaucoides) is a medium-sized gull that breeds in the Arctic regions of Canada and Greenland, but not in Iceland (as its name suggests), where it is only seen during winter","{'bird': 'Iceland gull', 'alternate_names': 'Larus glaucoides', 'scientific_name': 'Larus glaucoides'}",Iceland gull,Larus glaucoides,Larus glaucoides
9,"The icterine greenbul (Phyllastrephus icterinus) is a species of songbird in the bulbul family, Pycnonotidae","{'bird': 'Icterine Greenbul', 'alternate_names': 'Phyllastrephus icterinus', 'scientific_name': 'Pycnonotidae'}",Icterine Greenbul,Phyllastrephus icterinus,Pycnonotidae
10,The icterine warbler (Hippolais icterina) is an Old World warbler in the tree warbler genus Hippolais,"{'bird': 'Icterine Warbler', 'alternate_names': ['Hippolais icterina'], 'scientific_name': 'Hippolais icterina'}",Icterine Warbler,['Hippolais icterina'],Hippolais icterina
11,Ihering's antwren (Myrmotherula iheringi) is a species of bird in the family Thamnophilidae,"{'bird': ""Ihering's antwren"", 'alternate_names': 'Myrmotherula iheringi', 'scientific_name': 'Thamnophilidae'}",Ihering's antwren,Myrmotherula iheringi,Thamnophilidae
14,The imitator goshawk or imitator sparrowhawk (Accipiter imitator) is a species of bird of prey in the family Accipitridae,"{'bird': 'imitator goshawk or imitator sparrowhawk', 'alternate_names': ['Accipiter imitator'], 'scientific_name': 'Accipiter imitator'}",imitator goshawk or imitator sparrowhawk,['Accipiter imitator'],Accipiter imitator
15,"The imperial amazon (Amazona imperialis) or Dominican amazon, also known as the sisserou or sisserou parrot, is a parrot found only on the Caribbean island of Dominica","{'bird': 'Imperial Amazon', 'alternate_names': ['Sisserou', 'Sisserou Parrot'], 'scientific_name': 'Amazona imperialis'}",Imperial Amazon,"['Sisserou', 'Sisserou Parrot']",Amazona imperialis
16,"The imperial shag or imperial cormorant (Leucocarbo atriceps) is a black and white cormorant native to southern South America, primarily in rocky coastal regions, but locally also at large inland lakes","{'bird': 'Imperial Shag', 'alternate_names': ['Imperial Cormorant'], 'scientific_name': 'Leucocarbo atriceps'}",Imperial Shag,['Imperial Cormorant'],Leucocarbo atriceps
