,raw,bird,alternate_names,scientific_name
0,"The Iago sparrow (Passer iagoensis), also known as the Cape Verde or rufous-backed sparrow, is a passerine bird of the sparrow family Passeridae",Iago sparrow,"Cape Verde sparrow, rufous-backed sparrow",Passer iagoensis
1,The Ibadan malimbe (Malimbus ibadanensis) is a rare species of bird in the family Ploceidae,Ibadan malimbe,,Malimbus ibadanensis
2,"The Ibera seedeater (Sporophila iberaensis) is a species of bird in the family Thraupidae, formerly included within the family of American sparrows (Emberizidae)",Ibera seedeater,,Sporophila iberaensis
3,"The Iberian chiffchaff (Phylloscopus ibericus) is a species of leaf warbler endemic to Portugal, Spain and North Africa, west of a line stretching roughly from the western Pyrenees via the mountains of central Spain to the Atlantic",Iberian chiffchaff,,Phylloscopus ibericus
4,The Iberian green woodpecker (Picus sharpei) is a medium-sized woodpecker endemic to the Iberian peninsula,Iberian green woodpecker,,Picus sharpei
5,"The Iceland gull (Larus glaucoides) is a medium-sized gull that breeds in the Arctic regions of Canada and Greenland, but not in Iceland (as its name suggests), where it is only seen during winter",Iceland gull,,Larus glaucoides
6,"The icterine greenbul (Phyllastrephus icterinus) is a species of songbird in the bulbul family, Pycnonotidae",Icterine Greenbul,,Phyllastrephus icterinus
7,The icterine warbler (Hippolais icterina) is an Old World warbler in the tree warbler genus Hippolais,Icterine Warbler,,Hippolais icterina
8,Ihering's antwren (Myrmotherula iheringi) is a species of bird in the family Thamnophilidae,Ihering's antwren,,Myrmotherula iheringi
9,The imitator goshawk or imitator sparrowhawk (Accipiter imitator) is a species of bird of prey in the family Accipitridae,imitator goshawk,imitator sparrowhawk,Accipiter imitator
10,"The imperial amazon (Amazona imperialis) or Dominican amazon, also known as the sisserou or sisserou parrot, is a parrot found only on the Caribbean island of Dominica",Imperial Amazon,"Dominican amazon, Sisserou, Sisserou Parrot",Amazona imperialis
11,"The imperial shag or imperial cormorant (Leucocarbo atriceps) is a black and white cormorant native to southern South America, primarily in rocky coastal regions, but locally also at large inland lakes",Imperial Shag,Imperial Cormorant,Leucocarbo atriceps
12,The imperial snipe (Gallinago imperialis) is a small stocky wader which breeds in the Andes,Imperial Snipe,,Gallinago imperialis
13,The imperial woodpecker (Campephilus imperialis) is a woodpecker species endemic to Mexico,imperial woodpecker,,Campephilus imperialis
14,"The Inaccessible Island finch (Nesospiza acunhae), also known as the Inaccessible bunting, is a species of bird in the family Thraupidae (formerly in Emberizidae)",Inaccessible Island finch,Inaccessible bunting,Nesospiza acunhae
15,"The Inaccessible Island rail (Laterallus rogersi) is a small bird of the rail family, Rallidae",Inaccessible Island rail,,Laterallus rogersi
16,The Inambari gnatcatcher (Polioptila attenboroughi) is a species of bird in the family Polioptilidae,Inambari gnatcatcher,,Polioptila attenboroughi
17,The Inambari woodcreeper (Lepidocolaptes fatimalimae) is a species of bird in the subfamily Dendrocolaptinae,Inambari woodcreeper,,Lepidocolaptes fatimalimae
18,The Inca flycatcher (Leptopogon taczanowskii) is a species of bird in the family Tyrannidae,Inca flycatcher,,Leptopogon taczanowskii
19,"The Inca jay or querrequerre (Cyanocorax yncas) is a bird species of the New World jays, which is native to the Andes of South America",Inca jay,querrequerre,Cyanocorax yncas
20,"The  Inca tern (Larosterna inca) is a Near Threatened species of bird in subfamily Sterninae of the family Laridae, the gulls, terns, and skimmers",Inca Tern,,Larosterna inca
21,The Indian blackbird (Turdus simillimus) is a member of the thrush family Turdidae,Indian blackbird,,Turdus simillimus
22,The Indian bush lark (Mirafra erythroptera) is a species of lark in the family Alaudidae found in South Asia,Indian bush lark,,Mirafra erythroptera
23,The Indian cormorant or Indian shag (Phalacrocorax fuscicollis) is a member of the cormorant family,Indian cormorant,Indian shag,Phalacrocorax fuscicollis
24,"The  Indian cuckoo (Cuculus micropterus) is a member of the cuckoo order of birds, the Cuculiformes, that is found in the Indian subcontinent and Southeast Asia",Indian cuckoo,,Cuculus micropterus
25,The Indian golden oriole (Oriolus kundoo) is a species of oriole found in the Indian subcontinent and Central Asia,Indian golden oriole,,Oriolus kundoo
26,The Indian grassbird (Graminicola bengalensis) is a passerine bird in the family Pellorneidae,Indian grassbird,,Graminicola bengalensis
27,The Indian nightjar (Caprimulgus asiaticus) is a small nightjar which is a resident breeder in open lands across South Asia and Southeast Asia,Indian nightjar,,Caprimulgus asiaticus
28,The Indian nuthatch (Sitta castanea) is a species of bird in the family Sittidae,Indian nuthatch,,Sitta castanea
29,"The Indian peafowl (Pavo cristatus), also known as the common peafowl, and blue peafowl, is a peafowl species native to the Indian subcontinent",Indian peafowl,"common peafowl, blue peafowl",Pavo cristatus
30,The Indian robin (Copsychus fulicatus)[note 1] is a species of passarine bird in the family Muscicapidae,Indian robin,,Copsychus fulicatus
31,The Indian scops owl (Otus bakkamoena) is a species of owl native to South Asia,Indian scops owl,,Otus bakkamoena
32,The Indian silverbill or white-throated munia (Euodice malabarica) is a small passerine bird found in the Indian Subcontinent and adjoining regions that was formerly considered to include the closely related African silverbill (Euodice cantans),Indian silverbill,white-throated munia,Euodice malabarica
33,"The Indian spotted creeper (Salpornis spilonota) is a small passerine bird, which is a member of the subfamily Salpornithinae which is placed along with the treecreepers in the family Certhiidae",Indian spotted creeper,,Salpornis spilonota
34,The Indian stone-curlew or Indian thick-knee (Burhinus indicus) is a species of bird in the family Burhinidae,Indian stone-curlew,Indian thick-knee,Burhinus indicus
35,The Indian swiftlet or Indian edible-nest swiftlet  (Aerodramus unicolor) is a small swift,Indian swiftlet,Indian edible-nest swiftlet,Aerodramus unicolor
36,"The Indian vulture (Gyps indicus) is an Old World vulture native to India, Pakistan and Nepal",Indian vulture,,Gyps indicus
37,"The indigo bunting (Passerina cyanea) is a small seed-eating bird in the cardinal family, Cardinalidae",indigo bunting,,Passerina cyanea
38,The Indigo-banded kingfisher (Ceyx cyanopectus) is a species of bird in the family Alcedinidae,Indigo-banded kingfisher,,Ceyx cyanopectus
39,"The Indochinese barbet (Psilopogon annamensis), also called Annam barbet, is a bird belonging to the family Megalaimidae",Indochinese barbet,Annam barbet,Psilopogon annamensis
40,The Indochinese blue flycatcher (Cyornis sumatrensis) is a species of bird in the family Muscicapidae,Indochinese blue flycatcher,,Cyornis sumatrensis
41,The Indochinese bush lark (Mirafra erythrocephala) or Indochinese lark is a species of lark in the family Alaudidae found in southeast Asia,Indochinese bush lark,Indochinese lark,Mirafra erythrocephala
42,The Indochinese cuckooshrike (Lalage polioptera) is a species of bird in the family Campephagidae,Indochinese cuckooshrike,,Lalage polioptera
43,"The Indochinese green magpie (Cissa hypoleuca) or yellow-breasted magpie, is a passerine bird of the crow family, Corvidae",Indochinese green magpie,yellow-breasted magpie,Cissa hypoleuca
44,"The Indochinese roller (Coracias affinis) or Burmese roller, is a member of the roller bird family",Indochinese roller,Burmese roller,Coracias affinis
45,The Indochinese yuhina or chestnut-collared yuhina (Staphida torqueola) is a bird in the family Zosteropidae,Indochinese yuhina,Chestnut-collared yuhina,Staphida torqueola
46,The inland thornbill (Acanthiza apicalis) was originally described by English ornithologist John Gould in The Birds of Australia,inland thornbill,,Acanthiza apicalis
47,"The intermediate egret, median egret, smaller egret, or yellow-billed egret (Ardea intermedia) is a medium-sized heron",intermediate egret,"median egret, smaller egret, yellow-billed egret",Ardea intermedia
48,"The Iphis monarch (Pomarea iphis), or Ua Huka flycatcher, is a species of bird in the family Monarchidae",Iphis monarch,Ua Huka flycatcher,Pomarea iphis
49,The Iquitos gnatcatcher (Polioptila clementsi) is a bird in the family Polioptilidae,Iquitos gnatcatcher,,Polioptila clementsi
50,"The Iraq babbler (Argya altirostris) is a species of bird in the family Leiothrichidae, native to reed beds of the Tigris-Euphrates Valley",Iraq babbler,,Argya altirostris
51,The Iringa akalat (Sheppardia lowei) is a species of bird in the family Muscicapidae,Iringa akalat,,Sheppardia lowei
52,The Iriomote tit (Sittiparus olivaceus) is a small passerine bird in the tit family Paridae,Iriomote tit,,Sittiparus olivaceus
53,"The iris lorikeet (Saudareos iris) is a small, up to 20 cm long, green lorikeet bird",lorikeet,Saudareos iris,Iris lorikeet
54,The Isabela oriole (Oriolus isabellae) is a species of the oriole family endemic to Luzon in the Philippines,Isabela oriole,,Oriolus isabellae
55,The isabelline shrike or Daurian shrike (Lanius isabellinus) is a member of the shrike family (Laniidae),Isabelline Shrike,Daurian Shrike,Lanius isabellinus
56,"The isabelline wheatear (Oenanthe isabellina) is a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher in the family Muscicapidae",Isabelline Wheatear,,Oenanthe Isabellina
57,"The island bronze-naped pigeon (Columba malherbii), also known as the São Tomé bronze-naped pigeon, is a species of bird in the family Columbidae",island bronze-naped pigeon,São Tomé bronze-naped pigeon,Columba malherbii
58,The island imperial pigeon (Ducula pistrinaria) is a species of bird in the family Columbidae,Island Imperial Pigeon,,Ducula pistrinaria
59,The island leaf warbler (Phylloscopus poliocephalus) is a species of Old World warbler in the family Phylloscopidae,Island Leaf Warbler,,Phylloscopus poliocephalus
60,"The island scrub jay (Aphelocoma insularis), also known as the island jay or Santa Cruz jay, is a bird in the genus, Aphelocoma, which is endemic to Santa Cruz Island off the coast of Southern California",island scrub jay,"island jay, Santa Cruz jay",Aphelocoma insularis
61,The island whistler (Pachycephala phaionota) is a species of bird in the family Pachycephalidae endemic to the Moluccas (Indonesia),island whistler,,Pachycephala phaionota
62,The islet kingfisher (Todiramphus colonus) is a species of bird in the family Alcedinidae,islet kingfisher,,Todiramphus colonus
63,The isthmian wren (Cantorchilus elutus) is a species of bird in the family Troglodytidae,Isthmian Wren,,Cantorchilus elutus
64,"The Italian sparrow (Passer italiae), also known as the cisalpine sparrow, is a passerine bird of the sparrow family Passeridae, found in Italy and other parts of the Mediterranean region",Italian sparrow,Cisalpine sparrow,Passer italiae
65,"The Itatiaia spinetail (Asthenes moreirae), also known as the Itatiaia thistletail, is a species of bird in the family Furnariidae",Itatiaia spinetail,Itatiaia thistletail,Asthenes moreirae
66,The Itombwe flycatcher (Muscicapa itombwensis) is a bird species in the Old World flycatcher family (Muscicapidae),Itombwe flycatcher,,Muscicapa itombwensis
